[00:00] 指はもうたぶん折れまくってます
[00:02] 折れまくってる
[00:03] ゴリゴリゴリって
[00:04] 今までで一番大きい音が
[00:06] ここに座ってても聞こえるんですが
[00:30] 皆さんこんにちは
[00:46] さあ始まりました
[00:48] つのだしき関節生態チャンネル
[00:50] ありがとうございます
[00:54] そして本日も素敵なゲストの方にお越しいただきました
[00:58] 木下のりあきさんです
[01:00] よろしくお願いいたします
[01:04] 先生来ていただきましたね
[01:06] アメフト界のレジェンド
[01:08] アメフト界NFLといえば
[01:10] 超人たちの宴ですよ
[01:12] 本当すごいですからね
[01:14] NFLね
[01:16] 後ほど経歴を読みいただけると思うんですけど
[01:18] とんでもない方ですから
[01:20] ありがとうございます
[01:22] しかも現役
[01:24] フラッグフットボールっていうスポーツを
[01:26] 今挑戦中っていう形ですね
[01:28] フラッグフットボールって
[01:30] 簡単に言うとどういうスポーツなんでしょうか
[01:32] アメリカンフットボールってのは11対11のスポーツなんですけど
[01:34] フラッグフットボールは5対5のスポーツで
[01:36] 接触が禁止されてるスポーツなんです
[01:40] 横にフラッグっていうのを付けてるんですけど
[01:42] それを取ったら止まるみたいな感じのスポーツなんです
[01:46] しっぽ取りゲームみたいな感じ
[01:48] そうですそうです
[01:50] それが2028年のロスオリンピックに正式種目として決まったので
[01:54] アメリカンフットボールを引退して
[01:56] シフトチェンジしてるって感じですね
[01:58] そうなんですね
[02:00] 引退されてどれぐらい
[02:02] 引退してはもう2022年なので
[02:04] 3年目ですかね
[02:06] また現役復帰されて
[02:08] オリンピックを目指されてるという
[02:10] 現役選手をお越しいただきました
[02:12] 木下さんは我々大好きになっちゃいました
[02:14] 宮崎大介さんのご紹介で
[02:16] 今日来ていただいて
[02:18] 宮崎さんから紹介いただいて
[02:20] 仲いいんですか
[02:22] 仲いい方だと思います
[02:24] どちらも忙しかったりするので
[02:26] そんなに頻繁に会ったりっていうのはできてないですけど
[02:28] たまに連絡を取ったりとか
[02:30] 一回自分のフラッグチームがあるんですけど
[02:32] そのチームにもお誘いしたことはあります
[02:34] そうなんですか
[02:36] 宮崎さんってフィジカルモンスターですね
[02:38] フラッグボールっていうのは他のスポーツの選手も
[02:40] 全然できるかなと思っていたので
[02:42] ちょっとお誘いさせてもらったっていうのはあるんですけど
[02:46] ラグビーとかも7人制ラグビーができてる
[02:48] パスケットもCX3とかっていう
[02:50] アメフトもちっちゃいっていう
[02:52] 人数少なくっていう
[02:54] オリンピックに向けての縮小化というか
[02:56] その形で
[02:58] フラッグフットボールっていうのはできたと思います
[03:00] そんなアメフトから
[03:02] フラッグフットボールに転進された
[03:04] 木下さんですけども
[03:06] ご経歴を改めてご案内をさせていただければと思います
[03:08] NFLに最も近い
[03:10] 日本人と呼ばれた
[03:12] 日本アメフト界のレジェンドであります
[03:14] ポジションもっと日本代表の
[03:16] レシーバーを揃えておられた
[03:18] だから木下さんは5歳から
[03:20] アメフトを始められまして
[03:22] 高校、大学で日本一
[03:24] そして卒業後はNFLヨーロッパや
[03:26] アトランタ、ファルコンズにも調整
[03:28] そしてXリーグではオービック・シーガルズで
[03:30] 主力として日本一
[03:32] 3連覇を達成され
[03:34] 日本代表では首相も務められた
[03:36] すごい方でございます
[03:38] レジェンドですねアメフト選手
[03:40] 2022年に現役を引退されまして
[03:42] 現在はフラッグフットボールの選手として
[03:44] 2018年のロサンゼルス五輪に向けて
[03:46] 現役を復帰されているというところです
[03:48] ちょっとお伺いしたいんですけど
[03:50] NFLって世界中の
[03:52] 我こそが最強みたいな
[03:54] 人類を極めたみたいな人たちが
[03:56] 集まるスポーツだと思ってるんですよ
[03:58] 海外の選手とかとも戦われてもらえたんですよね
[04:00] 体の使い方とか
[04:02] テクニックで何とかなるものなんですか
[04:04] その差は
[04:06] 自分はやっぱり日本人で体が小さいっていうところがあったので
[04:08] アメリカ人にない
[04:10] 自分が戦える場所っていうのを
[04:12] 探し続けて
[04:14] 戦ってた形なので
[04:16] フィジカルで1対1で
[04:18] ぶつかり合うだけってなるとね
[04:20] やっぱり無理なんですよ
[04:22] 日本人のいいところでもある
[04:24] 細かいテクニックだったり
[04:26] 細かい執着心だったりとか
[04:28] っていうところで僕はずっと戦ってました
[04:30] そうですよねやっぱり工夫
[04:32] でもそれこそが日本人の進行潮だと
[04:34] 私は思うんですよ
[04:36] アメリカからトレーニングが入ってきた時に
[04:38] 筋肉こそ正義みたいな風潮がちょっとありましたけど
[04:40] もちろん大事なんだけども
[04:42] 本来日本人が得意になったのは
[04:44] 体の使い方で筋力差を補うとか
[04:46] 小武道なんかもそうですし
[04:48] おじいちゃんが大きい男の人投げたりするじゃないですか
[04:50] 体の使い方っていうところを
[04:52] 工夫されたってことで
[04:54] おそらく相当スポーツIQの高い選手だと思うんですよね
[04:56] ありがとうございます
[04:58] そんな木下さんが痛めてるところって気になりますね
[05:00] 痛いところありますか
[05:02] 痛いところで言うと
[05:04] 2020年にアメルトの試合中に
[05:06] 右足の軽肌骨両方折れてしまって
[05:08] 両方とも?
[05:10] 両方とも折れてしまって
[05:12] まだ随内転が中に入ったまんまなんですけど
[05:14] それがちょっとやっぱりまだに引きずってる
[05:16] 怪我はすごく多いんですけど
[05:18] さっきもね怪我自慢だったら
[05:20] 全部言ってもらいたいな
[05:22] 思ってたんですけど
[05:24] 洗い出しちゃってください
[05:26] 上から下まで
[05:28] 右足の寸のところはここから折れてしまった
[05:30] 寸の周囲がどういう症状で今
[05:32] 螺旋骨折ですね
[05:34] 螺旋骨折強そうまま折れてしまって
[05:36] 悩みな症状というか
[05:38] 力が入んないのか
[05:40] 痛いのか
[05:42] 膝のあたりに痛みが出たりとか
[05:44] あとは手術してからなんですけど
[05:46] 自分のついてる足先が
[05:48] ちょっと右にずれてる
[05:50] 気がずっとしてるんですよ
[05:52] 足首の可動域が戻っていなくて
[05:54] 走るときに
[05:56] 足首が抜けてしまうというか
[05:58] 横にまっすぐ踏めなかったり
[06:00] っていうのがすごい悩みですからね
[06:02] 大好物の足首です
[06:04] 今のところで言うと
[06:06] ここから下しか話出てきてないんですけど
[06:08] 上とかはないんですか
[06:10] 指は折れまくってますし
[06:12] 両肩検査関節
[06:14] 両方脱臼したことありますし
[06:16] 左足首脱臼骨折
[06:18] 三角陣体断裂して
[06:20] それはもう大学生ぐらいの時なんですけど
[06:22] それぐらいですかね
[06:24] 多分まだありそうですよね
[06:26] 細かいことを言ったら
[06:28] きりがないんですよ
[06:30] 今さらーっと全部あげてくださってるのが
[06:33] しかしですよ
[06:35] 今お伺いしてて
[06:36] プロテクターつけてやるんですよね
[06:38] プロテクターつけても
[06:40] こんなに大けがが耐えないスポーツってことですよね
[06:42] 僕としてはアメリカのウッドボールを
[06:44] 普及したいので
[06:46] あまりけがが多いって言いたくないんですけど
[06:48] 長い間やってたんで
[06:50] そこの中でけがしてしまう部分があったかな
[06:52] でもこれ変な足ですけど
[06:54] 経済合理性ってのも大事だと思うんですね
[06:56] スポーツ選手にとって
[06:58] NFLって夢しかないじゃないですか
[07:00] 年貌が高いのはアメフトの選手じゃなかったかな
[07:02] NFLとアメフトが
[07:04] もう二大人気ですけど
[07:06] アメフトの方が人気で
[07:08] 一番近かったという
[07:10] だからすごく夢のあるスポーツだと
[07:12] 私は思ってて
[07:14] どんどんどんどん日本人も大谷正也選手もそうですけど
[07:16] 結構大きくなれるようになってきたじゃないですか
[07:18] だからやっぱり夢のあるスポーツですよ
[07:20] 私純粋な
[07:22] 疑問というか質問なんですけど
[07:24] アメフトと言えばクォーターバックが
[07:26] 注目されてたりとか
[07:28] オフエンスラインとか
[07:30] ワイドレシーバーという
[07:32] どういう役割が担われてて
[07:34] どういう怪我をされるかみたいなのって
[07:36] ポジションによってすごい違うスポーツじゃないですか
[07:38] そうですね
[07:40] 全然本当にポジション役割っていうのはすごく分かれてるので
[07:42] 僕のポジション、ワイドレシーバーっていうのは
[07:44] オフエンスの攻める側、攻撃側の
[07:46] ポジションになるんですけど
[07:48] 花型とされるクォーターバック
[07:50] 野球でいうピッチャーの存在とから
[07:52] ボールを投げられたのをキャッチする
[07:54] 役割っていうのが僕の仕事ですね
[07:56] いいパスが来る、次につないでく人ってことですか?
[07:58] そうですね
[08:00] 花型な方ですね
[08:02] めちゃくちゃ狙われますよね
[08:04] 狙われることもありますし
[08:06] あとアメリカンフットボール独特なんですけど
[08:08] ワイドレシーバーっていうのは
[08:10] ボールを追いかけて
[08:12] ボールをキャッチするんですけど
[08:14] ボールを取る瞬間っていうのは
[08:16] 相手は当たっても反則にはならないんです
[08:18] 怖い怖い
[08:20] 玉際とか取る瞬間っていうのを
[08:22] ディベンスがすごく狙ってくる
[08:25] 恐ろしい
[08:27] キャッチする瞬間に足元にいるみたいな
[08:29] そうです
[08:31] ボールを取ったと思ったら
[08:33] 体に人がめり込んでたみたいな
[08:35] ボール集中してるので
[08:37] あんまり周りを見てなかったりするんですけど
[08:39] そういう経験は本当にはず多くあります
[08:41] そういう競技だからこそ
[08:43] ちゃんと安全性を考慮したプロテクターと
[08:45] そうですね
[08:47] 考慮されてるんですか?
[08:49] されてると思います
[08:51] アメリカンフットボール選手大体ヘルメットと
[08:53] プロテクターは無敵やと
[08:55] 無敵
[08:57] なんか強そうですもんね
[08:59] ケガでいうと何ですかね
[09:01] ボールを扱う職業なので
[09:03] 指のケガっていうのはすごく多いですし
[09:05] どんなケガするんですか?
[09:07] 曲がってますよ
[09:09] 曲がってますよ
[09:11] 剣も切れてるんですかね
[09:13] 多分そうです
[09:15] 初めてこんな手見ました
[09:17] グーも全然握れないんで
[09:19] グーしてもらっていいですか?
[09:21] すごい
[09:23] 握力はじゃないんですか?
[09:25] 握力はもともとめっちゃ強いタイプなので
[09:27] 未だに多分
